date,product with quantity,price
10-03-2015,Dermi Cool Freshness Pink 50g,Rs.20.00
10-03-2015,Dermi Cool Khus Pink 100g,Rs.38.00
10-03-2015,Dermi Cool Lavender 50g,Rs.20.00
10-03-2015,Dermi Cool Mandarine Orange 100g,Rs.38.00
10-03-2015,Dermi Cool Melon 150g,Rs.60.00
10-03-2015,Dermi Cool Nourishment Green 300g,Rs.80.00
10-03-2015,Dermi Cool Protection Blue 300g,Rs.85.00
10-03-2015,Dermi Cool Regular 150g,Rs.69.00
10-03-2015,Dermi Cool Sandal 150g,Rs.69.00
10-03-2015,Dermi Cool Teatree Blue 100g,Rs.38.00
10-03-2015,Dettol Antiseptic Liquid 110 ml,Rs.30.00
10-03-2015,Dettol Bathing Soap - Cool 75g x 4,Rs.86.00
10-03-2015,Dettol Bathing Soap - Cool 75g x 3,Rs.63.00
10-03-2015,Dettol Bathing Soap - Original 75g x 3,Rs.66.00
10-03-2015,"Dettol Bathing Soap - Re-energize Original, Skincare, Cool 75g x 4",Rs.83.00
10-03-2015,Dettol Bathing Soap - Skin Care 125 Gms,Rs.39.00
10-03-2015,Dettol Body Wash - Cool Menthol 250 ml,Rs.145.00
10-03-2015,Dettol Hand Wash - Fresh Citrus Frangrance 900ml,Rs.256.00
10-03-2015,Dettol Hand Wash - Original (Pouch) 185 ml,Rs.31.00
10-03-2015,Dettol Hand Wash - re energize ph Balanced  ,Rs.179.00
10-03-2015,Dettol Hand Wash - Sensitive 225ml,Rs.69.00
10-03-2015,Dettol Hand Wash - Sensitive with Pure Glycerin 900 ml,Rs.165.00
10-03-2015,Dettol Hand Wash - Skin Care 225 ml,Rs.69.00
10-03-2015,Dettol Hand Wash - Skincare (Pouch) 185 ml,Rs.37.00
10-03-2015,Dettol Handwash - Kitchen Anti-odour 250 ml,Rs.78.00
10-03-2015,Dettol Handwash - Skincare with PH Balanced 185ml,Rs.31.00
10-03-2015,Dettol Handwash - Skincare with PH Balanced 185ml x 2,Rs.61.00
10-03-2015,Dettol Handwash PH Balanced - Cool (Pouch) 185 ml,Rs.39.00
10-03-2015,Dettol Handwash PH Balanced - Cool (Pump) 250 ml,Rs.78.00
10-03-2015,Dettol Handwash PH Balanced - Re-Energize 250 ml,Rs.78.00
10-03-2015,Dettol Handwash PH Balanced - Re-Energize (Pouch) 185 ml,Rs.39.00
10-03-2015,Dettol Handwash PH Balanced - Sensitive (Pouch) 185 ml,Rs.38.00
10-03-2015,Dettol Instant Hand Sanitizer - Original 200 ml,Rs.199.00
10-03-2015,Dettol No-Touch Hand Wash Refill - Alovera 250 ml,Rs.149.00
10-03-2015,Dettol Skincare Soap 125g x 3,Rs.112.00
10-03-2015,Dove Bathing Soap - Fresh Moisturising 75g ,Rs.46.00
10-03-2015,Garnier White Scrub  50ml,Rs.85.00
10-03-2015,Gillette 7'o Clock PII 5's 1 Pack,Rs.135.00
10-03-2015,Gillette Series Facial Moisturizer 15ml,Rs.69.00
10-03-2015,Gillette Series Splash - Artic Ice 100ml,Rs.435.00
10-03-2015,Gillette Shave Brush 1 Pc.,Rs.54.00
10-03-2015,Gillette Venus Cartridge For Women 1Pack,Rs.449.00
10-03-2015,Gillette Venus Razor For Women 1Pack,Rs.199.00
10-03-2015,Godrej Expert Creme Kit Black Brown 1 Pc.,Rs.59.00
10-03-2015,Godrej Expert Creme Kit Burgandy 1 Pc.,Rs.59.00
10-03-2015,Godrej Expert Creme Kit Dark Brown 1 Pc.,Rs.59.00
10-03-2015,Godrej Expert Creme Kit Natural Black 1 Pc.,Rs.59.00
10-03-2015,Godrej Expert Creme Kit Natural Brown 1 Pc.,Rs.59.00
10-03-2015,Godrej Expert Creme Sct Black Brown 1 Pc.,Rs.30.00
10-03-2015,Godrej Expert Creme Sct Burgndy 1 Pc.,Rs.30.00
10-03-2015,Godrej Expert Creme Sct Dark Brown 1 Pc.,Rs.30.00
10-03-2015,Godrej Expert Creme Sct Natural Black 1 Pc.,Rs.30.00
