date,product with quantity,price
10-03-2015,Johnson's Baby Lotion ( Big ) 500ml,Rs.320.00
10-03-2015,Johnson's Baby Milk Cream 50g,Rs.70.00
10-03-2015,Johnson's Baby Milk Lotion 100ml,Rs.87.00
10-03-2015,Johnson's Baby Milk Soap 75g,Rs.40.00
10-03-2015,Johnson's Baby Natural Oil 100ml,Rs.99.00
10-03-2015,Johnson's Baby Oil 50ml,Rs.48.00
10-03-2015,Johnson's Baby Powder 100g,Rs.55.00
10-03-2015,Johnson's Baby Powder - Blossoms 100g,Rs.55.00
10-03-2015,Johnson's Baby Shampoo 60ml,Rs.50.00
10-03-2015,Johnson's Baby Soap 50g,Rs.24.00
10-03-2015,Johnson's Baby Soap + Top To Toe  150g,Rs.68.00
10-03-2015,Johnson's Baby Tooth Brush 1 Pc.,Rs.30.00
10-03-2015,Johnson's Baby Top-to-Toe Wash 100ml,Rs.70.00
10-03-2015,Johnson's Baby Top-to-Toe Wash (Big) 500ml,Rs.275.00
10-03-2015,"Mamy Poko Pants ""NEW BABY"" XS (3-5kgs) 10 Pcs",Rs.99.00
10-03-2015,Mamy Poko Pants Large (9-14kgs) 52 Pcs,Rs.629.00
10-03-2015,Mamy Poko Pants Medium (7-12kgs) 60 Pcs,Rs.629.00
10-03-2015,Mamy Poko Pants Small (4-8kgs) 62 Pcs,Rs.629.00
10-03-2015,Mamy Poko Pants XL (12-17kgs) 46 Pcs,Rs.629.00
10-03-2015,Mamy Poko Pants XXL (15-25kgs) 24 Pcs,Rs.449.00
10-03-2015,Mamy Poko Pants XXXL (18-35kgs) 7 Pcs,Rs.299.00
10-03-2015,Woodward's Gripe Water 130ml,Rs.40.00
10-03-2015,Biotique Wheat Germ Oil Baby 210ml,Rs.150.00
10-03-2015,Johnson's Baby Hair Oil - Avocado & Pro-Vitamin B's 100ml,Rs.63.00
10-03-2015,Johnson's Baby Soap 3x100g,Rs.147.00
10-03-2015,Nestle Cerelac - Multi Grain 5 Fruits (Stage 4) 300g,Rs.212.00
10-03-2015,Nestle Cerelac - Multi Grain Dal Veg (Stage 4) 300g,Rs.205.00
10-03-2015,Nestle Cerelac - Rice (Stage 1) 300g,Rs.158.00
10-03-2015,Nestle Cerelac - Veg Khichdi (Stage 2) 300g,Rs.185.00
10-03-2015,Nestle Cerelac - Wheat (Stage 1) 300g,Rs.155.00
