date,product with quantity,price
10-03-2015,Quaker Oats - Refill 1 Kg,Rs.165.00
10-03-2015,Ragu Pasta Sauce - Chunky 680g,Rs.325.00
10-03-2015,Ragu Pasta Sauce - Traditional 680g,Rs.325.00
10-03-2015,Saffola - Oats 200g,Rs.41.00
10-03-2015,Sago - Javvarisi 250g,Rs.25.00
10-03-2015,Sil mayonnaise 200g,Rs.60.00
10-03-2015,Sunfeast  Dream Cream - Chocolate Vanilla 120g x 2,Rs.40.00
10-03-2015,Sunfeast  Dream Cream - Strawberry  Vanilla 120g  x 2,Rs.40.00
10-03-2015,Sunfeast Bounce - Butter 100g x 3,Rs.30.00
10-03-2015,Sunfeast Bounce - Cashew 100g x 3,Rs.30.00
10-03-2015,Sunfeast Bounce - Choco 100g x 3,Rs.30.00
10-03-2015,Sunfeast Bounce - Elachi 100g x 2,Rs.20.00
10-03-2015,Sunfeast Bounce - Orange 100g x 3,Rs.30.00
10-03-2015,Sunfeast Bounce - Pineapple 100g x 3,Rs.30.00
10-03-2015,Sunfeast Cookies -  Kaju Badam 150g x 2,Rs.40.00
10-03-2015,Sunfeast Cookies -  Milk 200g x 2,Rs.40.00
10-03-2015,Sunfeast Cookies - Cashew  75g x 3,Rs.30.00
10-03-2015,Sunfeast Cookies - Cashew  150g,Rs.20.00
10-03-2015,Sunfeast Dark Fantasy - Choco Fills Luxuria 150g,Rs.60.00
10-03-2015,Sunfeast Dark Fantasy - Chocolate 75g,Rs.30.00
10-03-2015,Sunfeast Dark Fantasy - Vanilla 100g,Rs.25.00
10-03-2015,Sunfeast Delishus - Nut Biscotti 150g,Rs.60.00
10-03-2015,Sunfeast Delishus - Nuts & Raisins 150g,Rs.60.00
10-03-2015,Sunfeast Dream Cream - Bourbon 150g x 2,Rs.40.00
10-03-2015,Sunfeast Dream Cream - Butters Cotch Zing 150g,Rs.20.00
10-03-2015,Maggi Healthy Soups - Mixed Veg 44g,Rs.45.00
10-03-2015,Maggi Healthy Soups - Rich Tomato 54g,Rs.45.00
10-03-2015,Maggi Healthy Soups - Sweet Corn Vegetables 36g,Rs.45.00
10-03-2015,Maggi Instant Noodles - Cuppa Mania 70g,Rs.40.00
10-03-2015,Maggi Instant Noodles - Cuppa Mania (Chilly Chow) 70g,Rs.40.00
10-03-2015,Maggi Instant Noodles - Hungrooo 105g,Rs.15.00
10-03-2015,Maggi Ketchup Tomato - Bottle 200g,Rs.48.00
10-03-2015,Maggi Magic Chicken Cubes 4g,Rs.32.00
10-03-2015,Maggi Magic Veg. Masala Cubes 40g,Rs.32.00
10-03-2015,Maggi Masala - E-Magic 10*6g,Rs.40.00
10-03-2015,Maggi Masala - E-Magic 54g,Rs.35.00
10-03-2015,Maggi Noodles - Chicken 142g,Rs.30.00
10-03-2015,Maggi Noodles - Magical Atta 79g x 3,Rs.65.00
10-03-2015,Maggi Noodles - Meri Masala 280g,Rs.45.00
10-03-2015,Maggi Noodles - Meri Masala 140g x 2,Rs.46.00
10-03-2015,Maggi Noodles - Meri Masala (Big) 560g,Rs.86.00
10-03-2015,Maggi Nutri Licious Pazzta - Cheese Macaroni 70g,Rs.23.00
10-03-2015,Maggi Nutri Licious Pazzta - Masala 65g,Rs.23.00
10-03-2015,Maggi Nutri Licious Pazzta - Masala Penne 65g,Rs.23.00
10-03-2015,Maggi Nutri Licious Pazzta - Mushroom Penne 64g,Rs.23.00
10-03-2015,Maggi Nutri Licious Pazzta - Tomato 64g,Rs.23.00
10-03-2015,Maggi Pichkoo Rich Tomato Ketchup 90g,Rs.15.00
10-03-2015,Maggi Sauce - Hot & Sweet (Tomato Chilli) Bottle 200g,Rs.51.00
10-03-2015,Maggi Sauce - Rich Tomato Bottle 200g,Rs.49.00
10-03-2015,Maggi VEG ATTA Noodles 320g,Rs.90.00
10-03-2015,Manna - Health Mix 200g,Rs.99.00
10-03-2015,Murukku 100g,Rs.25.00
10-03-2015,Nestle - Alpino 22g,Rs.30.00
10-03-2015,Nestle - Alpino Big Pack 11g x 10,Rs.185.00
10-03-2015,Nestle - Bar One 130g,Rs.50.00
10-03-2015,Nestle - KitKat Dark 37.3g,Rs.50.00
10-03-2015,Nestle - KitKat Family Pack  90g,Rs.75.00
10-03-2015,Nestle - Maha Munch 10.8g x 24,Rs.120.00
10-03-2015,Nestle - Milk Chocolate 36g,Rs.40.00
10-03-2015,Nestle Eclairs Pouch Pack 1Pkt,Rs.100.00
10-03-2015,Nestle Milky Bar Choo - Jar 10g x 28,Rs.140.00
10-03-2015,Nestle Milky Bar Eclairs Jumbo Jar 3.4g x 875,Rs.875.00
10-03-2015,Nestle Milky Bar Eclairs Pouch Pack 3.4g x 100,Rs.100.00
10-03-2015,Nestle Munch Home 7.2g x 10,Rs.50.00
10-03-2015,Nestle Munch Pouch Pack 151.5g,Rs.80.00
10-03-2015,Britannia Nutri Choice Heavans 100g,Rs.50.00
10-03-2015,Good Day Chunkies 100g,Rs.50.00
10-03-2015,Kellogg's Corn Flakes 475g,Rs.154.00
10-03-2015,Kellogg's Corn Flakes 875g,Rs.265.00
10-03-2015,Kellogg's Muesli - No Added Sugar 550g,Rs.260.00
10-03-2015,Kellogg's Muesli - No Added Sugar 275g,Rs.133.00
10-03-2015,Knorr Soupy Noodles - Mast Masala 140g x 2,Rs.48.00
10-03-2015,Knorr Soupy Noodles - Mast Masala 280g,Rs.48.00
10-03-2015,MTR Gulab Jamun Mix (FREE Badam Drink Mix) 200g,Rs.75.00
10-03-2015,Sunfeast Farmlite Oats & Almonds Big Pack,Rs.50.00
10-03-2015,Sunfeast Farmlite Oats & Raisins Big Pack,Rs.50.00
10-03-2015,5 Star 33g,Rs.20.00
10-03-2015,5 Star 14g x 54,Rs.270.00
10-03-2015,5 Star - Fruit & Nut 36g,Rs.25.00
10-03-2015,Aachi Brinjal Thokku 300g,Rs.64.00
10-03-2015,Aachi Briyani Rice Paste 300g,Rs.65.00
10-03-2015,Aachi Coriander Thokku 300g,Rs.64.00
10-03-2015,Aachi Dhal Rice Powder 100g,Rs.32.00
10-03-2015,Aachi Garlic Rice Powder 50g,Rs.29.50
