date,product with quantity,price
10-03-2015,Twin Bird Chicken Pickle - (Non-Veg) 300g,Rs.125.00
10-03-2015,Twin Birds Fish Pickles - (Non-veg) 300g,Rs.125.00
10-03-2015,Twin Birds Fish Thokku Pickles - (Non-veg) 300g,Rs.125.00
10-03-2015,Twin Birds Nethili Fish Pickles - (Non-veg) 300g,Rs.125.00
10-03-2015,Twin Birds Prawn Curry Pickles - (Non-veg) 300g,Rs.125.00
10-03-2015,Twin Birds Prawn Pickles - (Non-veg) 300g,Rs.125.00
10-03-2015,Twin Birds Seer Fish Pickles - (Non-veg) 300g,Rs.125.00
10-03-2015,Aashirvaad Chilli Powder 100g,Rs.28.00
10-03-2015,Aashirvaad Rasam Powder 50g,Rs.21.00
10-03-2015,Aashirvaad Sambar Powder 50g,Rs.16.00
10-03-2015,Chinni'S Pickle Lime Bottle 280g,Rs.42.00
10-03-2015,Chinni'S Pickle Lime Bottle 70g,Rs.10.00
10-03-2015,Chinni'S Pickle Mango Avakkai Bottle 280g,Rs.45.00
10-03-2015,Chinni'S Pickle Mango Bottle 280g,Rs.42.00
10-03-2015,Chinni'S Pickle Mango Thokku Bottle 280g,Rs.42.00
10-03-2015,Chinni'S Pickle Tomato Garlic Bottle 280g,Rs.45.00
10-03-2015,MTR - Chilli Powder 100g,Rs.27.00
10-03-2015,Daurala Sugar Cubes 500gm,Rs.52.00
10-03-2015,Everest Kashmirilal Chilli Powder 100g,Rs.47.00
10-03-2015,Everest Powder - Kutilal Red Chilli 100g,Rs.24.00
10-03-2015,Everest Powder - Tikhalal Chilli 100g,Rs.26.00
10-03-2015,Jaggery  Palm - Karupatti 250g,Rs.55.00
10-03-2015,Jaggery (Paagu) - Paagu Vellam 500g,Rs.35.00
10-03-2015,Jaggery - Vellam 1Kg,Rs.65.00
10-03-2015,Jaggery Square - Achchu Vellam 1Kg,Rs.66.00
10-03-2015,Aachi Coriander Powder 100g,Rs.37.00
10-03-2015,Sakthi Coriander Powder 100g,Rs.38.00
10-03-2015,Aashirvaad Coriander Powder 100g,Rs.24.00
10-03-2015,Everest Coriander Powder 100g,Rs.32.00
10-03-2015,Everest Garam Masala-50Gm 50gm,Rs.35.00
10-03-2015,Everest Powder - Green Coriander 100g,Rs.32.00
10-03-2015,Green Moong - Paasipayaru 500g,Rs.70.00
10-03-2015,Green Peas Dry - Pachai Pattani 500g,Rs.33.00
10-03-2015,Ground Nut - Roasted 500g,Rs.75.00
10-03-2015,Ground Nut Raw 500g,Rs.68.00
10-03-2015,Hatsun Ghee Jar 200ml,Rs.107.00
10-03-2015,India Gate Basmati Rice - Classic 5Kgs,Rs.980.00
10-03-2015,India Gate Basmati Rice - Dubar 5Kgs,Rs.575.00
10-03-2015,India Gate Basmati Rice - Feast Rozzana 5Kgs,Rs.505.00
10-03-2015,India Gate Basmati Rice - Super 1Kgs,Rs.179.00
10-03-2015,India Gate Brown Rice 1Kg,Rs.116.00
10-03-2015,Kerala Brown Rice 5Kgs,Rs.255.00
10-03-2015,Kesari Powder 1 Pack,Rs.9.00
10-03-2015,Kohinoor Gold Range Basmati Rice - Extra Long 5Kgs,Rs.770.00
10-03-2015,Kohinoor Platinum - Basmati Rice 5 Kgs,"Rs.1,290.00"
10-03-2015,Kollu (Millets) 500g,Rs.30.00
10-03-2015,Kuthirai Vaali Arisi 500g,Rs.48.00
10-03-2015,Lion Dates 200g,Rs.31.00
10-03-2015,Lion Dates Honey 250g,Rs.154.00
10-03-2015,Lion Deseeded Dates 200g,Rs.31.00
10-03-2015,Lion Deseeded Dates - Box 500g,Rs.81.00
10-03-2015,Lion Deseeded Dates - Box 250g,Rs.43.00
10-03-2015,Lion Desert King Dates 500g,Rs.156.00
10-03-2015,Lion Desert King Dates - Box 500g,Rs.160.00
10-03-2015,Mana Thakkali 50g,Rs.20.00
10-03-2015,Naattu Kambu Arisi 500g,Rs.32.00
10-03-2015,Naga - Samba Rava Wheat 500g,Rs.71.00
10-03-2015,Naga Rava 500g,Rs.27.50
10-03-2015,Orid Dal (Black) 500gm,Rs.52.00
10-03-2015,Orid Dal (Broken Black) 500g,Rs.46.00
10-03-2015,Orid Dal (Broken White) 250g,Rs.26.00
10-03-2015,Parry's Pure Refined Sugar 1Kg,Rs.60.00
10-03-2015,Parry's Pure Refined Sugar Jar 1Kg,Rs.65.00
10-03-2015,Parry's Sugar Cubes 120 Cubes,Rs.55.00
10-03-2015,Parry's Vita Sugar 1Kg,Rs.50.00
10-03-2015,Parry's White Label Sugar 1Kg,Rs.47.00
10-03-2015,Pillsbury Rava 1Kg,Rs.58.00
10-03-2015,Ponni Brown Rice 5Kgs,Rs.300.00
10-03-2015,Ponni Brown Rice 3kg,Rs.180.00
10-03-2015,Porna - Refined Rice Bran Oil 1Ltr.,Rs.104.00
10-03-2015,Radikal Basmati Rice - Apica 5 Kgs,"Rs.1,040.00"
10-03-2015,Radikal Basmati Rice - Aqua Mist 5 Kgs,"Rs.1,040.00"
10-03-2015,Radikal Basmati Rice - Arctic Pink 5 Kgs,"Rs.1,040.00"
10-03-2015,Radikal Traditional Basmati Rice - Pristine 5 Kgs,"Rs.1,040.00"
10-03-2015,Red Rajma 250g,Rs.29.00
10-03-2015,Saamai Arisi 500g,Rs.48.00
10-03-2015,Sakthi Amla Pickle 300g,Rs.54.00
10-03-2015,Star Aniseed dry - Annachi Poo (Masala) 50g,Rs.22.00
10-03-2015,Sugar Free Gold Tab 300's,Rs.175.00
10-03-2015,Sugar Free Natura Diet Sugar 80g,Rs.240.00
10-03-2015,Sugar Free Natura Sweet Drops 10g,Rs.140.00
10-03-2015,Sugar Free Powder  - Natura 100g,Rs.140.00
10-03-2015,Sugar Free Powder - Gold 100g,Rs.130.00
10-03-2015,Sugar Free Sachets - Gold 100's,Rs.130.00
10-03-2015,Sugar Free Sachets - Natura 100's,Rs.155.00
10-03-2015,Sugar Free Tab - Natura 200's,Rs.135.00
10-03-2015,Thinai Arisi 500g,Rs.45.00
10-03-2015,Varaghu Arisi 500g,Rs.48.00
10-03-2015,Vinegar (Non Fruit) 350ml,Rs.35.00
10-03-2015,Walnut Kemels 100g,Rs.199.00
10-03-2015,Walnut Kemels 150gm,Rs.298.00
10-03-2015,White Peas - Vellai Pattaani 250g,Rs.14.50
10-03-2015,White Rajma 250g,Rs.28.00
10-03-2015,Equal Tablets - Diet Sugar Sweetener 500Pcs,Rs.200.00
10-03-2015,Equal Tablets - Diet Sugar Sweetener 300 Nos,Rs.155.00
10-03-2015,Mother's Recipe - Mango Pickle 300g,Rs.64.00
10-03-2015,Mother's Recipe - Tomato Pickle 300g,Rs.64.00
10-03-2015,Sakthi Bajji Bonda Mix 200g,Rs.24.00
10-03-2015,Sakthi Briyani Masala 50g,Rs.32.50
10-03-2015,Sakthi Chicken Masala 100g,Rs.47.00
10-03-2015,Sakthi Chilli Chicken Masala 50g,Rs.22.50
10-03-2015,Sakthi Chilli Chutney Powder 100g,Rs.30.00
10-03-2015,Sakthi Curry Masala 50g,Rs.21.00
10-03-2015,Sakthi Egg Kuruma Masala 50g,Rs.28.00
10-03-2015,Sakthi Fish Curry Masala 50g,Rs.17.00
10-03-2015,Sakthi Fish Fry Masala 50g,Rs.18.75
10-03-2015,Sakthi Garam Masala 50g,Rs.33.50
10-03-2015,Sakthi Kulambu Chilly Powder 100g,Rs.35.00
10-03-2015,Sakthi Mutton Masala 100g,Rs.55.00
10-03-2015,Sakthi Rasam Powder 100g,Rs.54.00
10-03-2015,Sakthi Sambar Powder 100g,Rs.37.00
10-03-2015,Mustard - Kadugu 250gm,Rs.22.50
10-03-2015,Pepper Black - Milagu 100g,Rs.104.00
10-03-2015,Pillsbury - Chakki Fresh Wheat Atta 10Kgs,Rs.390.00
10-03-2015,Pillsbury - Multigrain Atta 1Kg,Rs.50.00
10-03-2015,Pista - Plain 50g,Rs.99.00
10-03-2015,Pista - Unpeeled 50g,Rs.90.00
10-03-2015,Raisin - Black 100g,Rs.46.00
10-03-2015,Raisin - Kismis 100g,Rs.40.00
10-03-2015,Raw Rice - Ponni Pacharisi (Premium) 5Kgs,Rs.248.00
