date,product with quantity,price
11-03-2015,Origami So Soft Tissue Roll 3 Ply 4 X 300 gm,Rs. 260.00
11-03-2015,Origami So Soft Tissue Roll 3 Ply 200 gm,Rs. 65.00
11-03-2015,Premier 2 Ply Toilet Tissue 330 Pulls Pulls X 4 Rolls,Rs. 180.00
11-03-2015,Royal Toilet Tissue 2 Ply X 200 Pulls,Rs. 175.00
11-03-2015,Kiwi Dranex Drain Cleaner Heavy Duty 375 gm,Rs. 99.00
11-03-2015,Kiwi Dranex Drain Cleaner 50 gm,Rs. 20.00
11-03-2015,Scotch Brite Sponge Wipe 175 mm X 150 mm,Rs. 40.00
11-03-2015,Scotch-Brite Dishwash Scrub Sponge 10 cm X 6 cm,Rs. 25.00
11-03-2015,Scotch-Brite Scrub Sponge Dishwash Scrub 8 X 5 Cm,Rs. 18.00
11-03-2015,Mr Muscle Power Orange Kitchen Cleaner 500 ml,Rs. 85.00
11-03-2015,Cif Cream Lemon Surface Cleaner 500 ml,Rs. 92.00
11-03-2015,Cif Cream Surface Cleaner 550 ml,Rs. 92.00
11-03-2015,Cif Cream Surface Cleaner 250 ml,Rs. 62.00
11-03-2015,Cif Cream Surface Cleaner 120 ml,Rs. 29.00
11-03-2015,Colin Glass Cleaner 500 ml,Rs. 72.00
11-03-2015,Colin Lemon Fragrance Glass Cleaner 500 ml,Rs. 72.00
11-03-2015,Colin Power Multi Purpose Cleaner 400 ml,Rs. 64.00
11-03-2015,Vim Power of 100 Lemons Dishwash Bar 3X 200 gm,Rs. 47.00
11-03-2015,Vim Power of 100 Lemons Dishwash Bar 500 gm,Rs. 42.00
11-03-2015,Vim Ultra Dishwash Powder 1 kg,Rs. 30.00
11-03-2015,Vim Anti Germ with Lemon and Neem Dishwash Bar 300 gm,Rs. 27.00
11-03-2015,Vim Power of 100 Lemons Dishwash Bar 300 gm,Rs. 24.00
11-03-2015,Vim Anti Germ with Lemon and Neem Dishwash Bar 130 gm,Rs. 10.00
11-03-2015,Exo Dishwash Bar Jumbo Round 700 gm,Rs. 60.00
11-03-2015,Citrus Plus Dishwash Bar Tub Pack 300 gm,Rs. 26.00
11-03-2015,Vim Lemon Dishwash Gel Mega Saver 1.5 lt. Save Rs 25,Rs. 280.00
11-03-2015,Vim Lemon Dishwash Gel Mega Saver Pack 1.5 lt. Rs 25 Off,Rs. 242.00
11-03-2015,Vim Double Power Lime Dishwash Liquid 500 ml,Rs. 105.00
11-03-2015,Vim Double Power Lemon Dishwash Liquid 500 ml,Rs. 105.00
11-03-2015,Vim Lemon Concentrated gel Dishwash Liquid 250 ml,Rs. 58.00
11-03-2015,Vim Lemon Dishwash Liquid 225 ml. Free Scotch-Brite Scrubber,Rs. 39.00
11-03-2015,Pril Perfect Active 2X Lime Dishwash Liquid 425 ml,Rs. 85.00
11-03-2015,Pril Perfect Active Kraft Gel 425 ml,Rs. 85.00
11-03-2015,Pril Perfect Lime Dishwash Liquid 425 ml,Rs. 83.00
11-03-2015,Pril Perfect Dishwash Liquid Refill Pack 130 ml,Rs. 20.00
11-03-2015,Dettol Healthy Kitchen Lemon Fresh Dish and Slab Gel 400 ml,Rs. 98.00
11-03-2015,Dettol Healthy Kitchen Lime Splash Dish & Slab Gel 400 ml. Free Dettol Soap,Rs. 98.00
11-03-2015,Dettol Lime Dishwash Liquid 400 ml,Rs. 94.00
11-03-2015,Dettol Healthy Kitchen Lime Splash Dish and Slab Gel Refill 130 ml,Rs. 20.00
11-03-2015,Dettol Healthy Kitchen Dish & Slab Dishwash Gel Refill 130 ml,Rs. 20.00
11-03-2015,A One Silver Shining Liquid 100 ml,Rs. 125.00
11-03-2015,Exo Dish Shine Liquid 500 ml,Rs. 105.00
11-03-2015,Lizol Jasmine Floor Cleaner 975 ml,Rs. 123.00
11-03-2015,Lizol Lavender Floor Cleaner 975 ml,Rs. 123.00
11-03-2015,Lizol Citronella Floor Cleaner 975 ml. Save Rs 7,Rs. 123.00
11-03-2015,Lizol Sandal Floor Cleaner 975 ml,Rs. 115.00
11-03-2015,Lizol Sandal Floor Cleaner 500 ml,Rs. 67.00
11-03-2015,Lizol Citronella Floor Cleaner 500 ml,Rs. 67.00
11-03-2015,Mr Muscle Glass & Household Cleaner 500 ml,Rs. 72.00
11-03-2015,Mr Muscle 5 in 1 Toilet Cleaner 500 ml,Rs. 70.00
11-03-2015,Mr Muscle Citrus Floor Cleaner 500 ml,Rs. 66.00
11-03-2015,Mr Muscle Floral Perfection Floor Cleaner 500 ml,Rs. 66.00
11-03-2015,Mr Muscle Lavender Floor Cleaner 500 ml,Rs. 66.00
11-03-2015,Domex Floor Cleaner Kills All Germs 500 ml,Rs. 68.00
11-03-2015,Colin Citrus Floor Cleaner 500 ml,Rs. 41.00
11-03-2015,Colin Floral Floor Cleaner 500 ml,Rs. 41.00
11-03-2015,Colin Lavender Floor Cleaner 500 ml,Rs. 41.00
11-03-2015,Colin Original Fresh Floor Cleaner 500 ml,Rs. 41.00
11-03-2015,Dettol Effective Protection Antiseptic Liquid 500 ml,Rs. 107.39
11-03-2015,Shield Lemon Floor Cleaner 975 ml,Rs. 132.00
11-03-2015,Dinamo Rose Floor Cleaner 500 ml,Rs. 66.00
11-03-2015,Shield Lemon Energy Floor Cleaner 480 ml,Rs. 66.00
11-03-2015,Lizol Citrus Surface Cleaner 2 lt. Save Rs 22,Rs. 246.00
11-03-2015,Lizol Floral Surface Cleaner 2 lt. Save Rs 22,Rs. 246.00
11-03-2015,Lizol Jasmine Surface Cleaner 2 lt. Save Rs 22,Rs. 246.00
11-03-2015,Lizol Lavender Surface Cleaner 2 lt. Save Rs 22,Rs. 246.00
11-03-2015,Lizol Pine Surface Cleaner 2 lt. Save Rs 22,Rs. 246.00
11-03-2015,Comfort Lily Fresh Fabric Conditioner 800 ml,Rs. 170.00
11-03-2015,Comfort Morning Fresh Fabric Conditioner 800 ml,Rs. 170.00
11-03-2015,Comfort 99% Anti Bacterial Action Fabric Conditioner 800 ml,Rs. 170.00
11-03-2015,Comfort Morning Fresh Fabric Conditioner 400 ml,Rs. 88.00
11-03-2015,Comfort Morning Fresh Fabric Conditioner 200 ml,Rs. 46.00
11-03-2015,Comfort Lily Fresh Fabric Conditioner 200 ml,Rs. 46.00
11-03-2015,Comfort Fabric Conditioner 200 ml,Rs. 46.00
11-03-2015,Revive Liquid Fabric Stiffener All Fabrics All Colours 400 ml,Rs. 96.00
11-03-2015,Revive Liquid Fabric Stiffener 200 gm,Rs. 53.00
11-03-2015,Revive Instant Starch Fabric Stiffener 200 gm,Rs. 50.00
11-03-2015,Revive Anti-Bacterial Instant Starch Fabric Stiffener 50 gm,Rs. 14.00
11-03-2015,Ujala Floral Fusion Stiff & Shine Fabric Stiffener 200 gm,Rs. 45.00
11-03-2015,Ujala Jasmine Fresh Fabric Stiffener 200 ml,Rs. 45.00
11-03-2015,Ujala Spring Lily Stiff & Shine Fabric Stiffener 200 gm,Rs. 45.00
11-03-2015,Ujala Jasmine Fresh Fabric Stiffener 100 ml,Rs. 24.00
11-03-2015,Ujala Spring Lily Stiff & Shine Fabric Stiffener 100 gm,Rs. 22.00
