date,product with quantity,price
10-03-2015,Mountain Dew 600ml,Rs.33.00
10-03-2015,Pepsi 600ml,Rs.34.00
10-03-2015,Pepsi - Tin 250ml,Rs.20.00
10-03-2015,Rasna Fruitfun Lemon 200g,Rs.40.00
10-03-2015,Slice 1.2 Ltr,Rs.65.00
10-03-2015,Thums Up 1Tin,Rs.30.00
10-03-2015,Thums Up 600ml,Rs.33.00
10-03-2015,Thums Up 400ml,Rs.20.00
10-03-2015,Tropicana - Apple 1Ltr,Rs.95.00
10-03-2015,Tropicana - Apple 200ml,Rs.20.00
10-03-2015,Tropicana - Grape 1Ltr,Rs.105.00
10-03-2015,Tropicana - Guava 1Ltr,Rs.95.00
10-03-2015,Tropicana - Juicy Apple 1Ltr,Rs.95.00
10-03-2015,Tropicana - Juicy Orange 1Ltr,Rs.95.00
10-03-2015,Tropicana - Litchi Delight 1Ltr,Rs.95.00
10-03-2015,Tropicana - Litchi Delight 200ml,Rs.20.00
10-03-2015,Tropicana - Mango 1Ltr,Rs.95.00
10-03-2015,Tropicana - Mixed Fruit 1Ltr,Rs.95.00
10-03-2015,Tropicana - Orange 200ml,Rs.20.00
10-03-2015,Tropicana - Orange 1Ltr,Rs.95.00
10-03-2015,Tropicana - Pine Apple 1Ltr,Rs.90.00
10-03-2015,Tropicana - Tomato 1Ltr,Rs.90.00
10-03-2015,Red Label Tea 500g,Rs.198.00
10-03-2015,Red Label Tea - Natural Care 500g,Rs.213.00
10-03-2015,Red Label Tea - Natural Care (Pouch) 1Kg,Rs.435.00
10-03-2015,Red Label Tea - Pouch 1Kg,Rs.329.00
10-03-2015,Red Label Tea - Special 500g,Rs.230.00
10-03-2015,Red Label Tea - Special (Pouch) 1Kg,Rs.435.00
10-03-2015,Samahan 50's Pack,Rs.300.00
10-03-2015,Sprite 2Ltrs.,Rs.80.00
10-03-2015,Sprite - Tin 330ml,Rs.30.00
10-03-2015,Taj Mahal Tea 500g,Rs.238.00
10-03-2015,Taj Mahal Tea 1Kg,Rs.440.00
10-03-2015,Taj Mahal Tea - Darjeeling 250g,Rs.135.00
10-03-2015,Taj Mahal Tea - Gold 250g,Rs.140.00
10-03-2015,Taj Mahal Tea Bags 100 bags,Rs.130.00
10-03-2015,Taj Mahal Tea Bags - Cardamom 10 bags,Rs.50.00
10-03-2015,Taj Mahal Tea Bags - Darjeeling 25 bags,Rs.140.00
10-03-2015,Taj Mahal Tea Bags - Ginger 10 bags,Rs.50.00
10-03-2015,Taj Mahal Tea Bags - Ginger 25 bags,Rs.150.00
10-03-2015,Taj Mahal Tea Bags - Honey Lemon Green 25 bags,Rs.150.00
10-03-2015,Taj Mahal Tea Bags - Lemon 25 bags,Rs.150.00
10-03-2015,Taj Mahal Tea Bags - Lemon 10 bags,Rs.50.00
10-03-2015,Tata Coorg Filter Coffee - Pouch 200gm,Rs.87.00
10-03-2015,Tetley Green - Tea Bags 100bag,Rs.425.00
10-03-2015,Tetley Green - Tea Bags 10Nos.,Rs.60.00
10-03-2015,Tetley Green Tea - Lemon and Honey Tea Bags  30 Bags,Rs.150.00
10-03-2015,Twinings Tea Bags - Darjeeling 25's,Rs.250.00
10-03-2015,Twinings Tea Bags - Green Tea 25's,Rs.270.00
10-03-2015,Twinings Tea Bags - Green Tea Lemon 100's,Rs.800.00
10-03-2015,Twinings Tea Bags - Green Tea Lemon 25's,Rs.250.00
10-03-2015,Twinings Tea Bags - Green Tea Lemon 10's,Rs.100.00
10-03-2015,Twinings Tea Bags - Green Tea Lemon & Honey 25's,Rs.250.00
10-03-2015,Twinings Tea Bags - Green Tea Mint 25's,Rs.250.00
10-03-2015,Twinings Tea Bags - Lemon 25's,Rs.250.00
10-03-2015,Twinings Tea Bags - Lemon Ginger 25's,Rs.250.00
10-03-2015,Udhayam Narasus Filter Coffee 500g,Rs.200.00
10-03-2015,Women Horlicks Caramel - Jar 400g,Rs.255.00
10-03-2015,Women Horlicks Caramel - Refill ,Rs.250.00
10-03-2015,Women Horlicks Choclate - Jar 400g,Rs.255.00
10-03-2015,Boost - ChocoNut 450g,Rs.222.50
10-03-2015,Boost - Eclair 450g,Rs.217.50
10-03-2015,Lipton Green Tea Bags - Mint Burst 20 bags,Rs.105.00
10-03-2015,Lipton Green Tea Bags - Tulsi Natura 20 bags,Rs.105.00
10-03-2015,Lipton Tea - Natural 250g,Rs.139.00
10-03-2015,Lipton Tea - Yellow 500g,Rs.315.00
10-03-2015,Mothers Horlicks - Refill 200g,Rs.199.00
10-03-2015,Mountain Dew - Tin 250ml,Rs.25.00
10-03-2015,Nescafe - Classic Coffee (Carton) 200g,Rs.415.00
10-03-2015,Nescafe - Classic Coffee (Jar) 25g,Rs.65.00
10-03-2015,Nescafe - Classic Coffee (Pouch) 50g,Rs.110.00
10-03-2015,Nescafe - Golden Coffee Jar 50g,Rs.280.00
10-03-2015,Nescafe - Sunrise Premium Coffee 200g,Rs.325.00
10-03-2015,Nescafe - Sunrise Premium Pouch 50g,Rs.90.00
10-03-2015,Nestea - Ice Tea (Lemon) 500g,Rs.130.00
10-03-2015,Nestea - Ice Tea (Peach) 500g,Rs.130.00
10-03-2015,Nestle - Everyday Dairy Whitener 400g,Rs.174.00
10-03-2015,Nestle - Everyday Dairy Whitener - Mini  20g x 5,Rs.50.00
10-03-2015,Nestle Baby & Me Maternal Nutrition - Pouch 400g,Rs.385.00
10-03-2015,Pediasure Choco - Jar 400g,Rs.525.00
10-03-2015,Pediasure Choco - Refill 400g,Rs.500.00
10-03-2015,Pediasure Vanilla - Jar 400g,Rs.515.00
10-03-2015,Pediasure Vanilla - Refill 400g,Rs.490.00
10-03-2015,Real Activ - Beet Carrot 1 Ltr,Rs.110.00
10-03-2015,Real Activ - Cucumber Spinach 1Ltr,Rs.110.00
10-03-2015,Real Activ - Drinking Yogurt Mango 1Ltr,Rs.105.00
10-03-2015,Real Activ - Drinking Yogurt Strawberry 1Ltr,Rs.105.00
10-03-2015,Real Activ - Multi Fruit 1 Ltr,Rs.115.00
10-03-2015,Real Activ - Orange Carrot 1Ltr,Rs.110.00
10-03-2015,Real Fruit Power Juice - Apple 1 Ltr,Rs.99.00
10-03-2015,Real Fruit Power Juice - Apricot 1 Ltr,Rs.99.00
10-03-2015,Real Fruit Power Juice - Cranberry 1 Ltr,Rs.109.00
10-03-2015,Real Fruit Power Juice - Gauva 1 Ltr,Rs.99.00
