date,product with quantity,price
11-03-2015,Haldirams Dry Friuts Mix 150 gm,Rs. 56.00
11-03-2015,Haldirams Murukku 200 gm,Rs. 48.00
11-03-2015,Haldirams Masala Kaju 40 gm,Rs. 40.00
11-03-2015,Haldirams Salted Kaju 40 gm,Rs. 40.00
11-03-2015,Haldirams All In One Mixture 150 gm,Rs. 36.00
11-03-2015,Haldirams Navratan Mix 150 gm,Rs. 36.00
11-03-2015,Haldirams Moong Dal 150 gm,Rs. 36.00
11-03-2015,Haldirams Masala Chana 50 gm,Rs. 34.00
11-03-2015,Haldirams Dal Biji 150 gm,Rs. 34.00
11-03-2015,Haldirams Aloo Bhujia 150 gm,Rs. 34.00
11-03-2015,Haldirams Boondi 150 gm,Rs. 34.00
11-03-2015,Haldirams Bhujia Sev 150 gm,Rs. 34.00
11-03-2015,Haldirams Chana Nuts 150 gm,Rs. 30.00
11-03-2015,Haldirams Khatta Meetha 150 gm,Rs. 30.00
11-03-2015,Haldirams Mixture 150 gm,Rs. 30.00
11-03-2015,Kurkure Masala Munch Snacks 102 gm,Rs. 20.00
11-03-2015,Bingo Mad Angles Achaari Masti Namkeen Snacks 45 gm,Rs. 10.00
11-03-2015,Kissan Sweet and Spicy Sauce 1 kg,Rs. 127.00
11-03-2015,Kissan Sweet And Spicy Sauce 200 gm,Rs. 44.00
11-03-2015,Kissan No Onion No Garlic Tomato Sauce 200 gm,Rs. 43.00
11-03-2015,Chings Secret Dark Soy Sauce 750 gm,Rs. 54.00
11-03-2015,Ching's Secret Green Chilli Sauce 190 gm,Rs. 40.00
11-03-2015,Maggi Hot & Sweet Tomato Chilli Sauce 500 gm,Rs. 94.00
11-03-2015,Maggi Rich Tomoto Sauce 500 gm,Rs. 92.00
11-03-2015,Maggi Rich Tomato Sauce 200 gm,Rs. 49.00
11-03-2015,Fun Foods Salsa Culinary Sauce 400 gm,Rs. 79.00
11-03-2015,Ching's Secret Superior Dark Soy Sauce 200 gm,Rs. 40.00
11-03-2015,Kissan Squeezo Fresh Tomato Ketchup 450 gm,Rs. 95.00
11-03-2015,Kissan Squeezo Fresh Tomato Ketchup 450 gm,Rs. 90.00
11-03-2015,Kissan Fresh Tomato Ketchup 500 gm,Rs. 87.00
11-03-2015,Kissan Fresh Tomato Ketchup 500 gm ,Rs. 87.00
11-03-2015,Kissan Chilli Tomato Ketchup 200 gm,Rs. 48.00
11-03-2015,Kissan Fresh Tomato Ketchup 200 gm ,Rs. 48.00
11-03-2015,Kissan Fresh Tomato Ketchup 200 gm,Rs. 46.00
11-03-2015,Chings Secret Vinegar Synthetic 640 ml,Rs. 45.00
11-03-2015,Ching's Secret Chilli Vinegar 170 ml,Rs. 40.00
11-03-2015,Weikfeild Chilli Vinegar 200 gm,Rs. 45.00
11-03-2015,Knorr Soupy Noodles Mast Masala 280 gms,Rs. 48.00
11-03-2015,Knorr Mast Masala Double Pack Soupy Noodles 140 gm,Rs. 24.00
11-03-2015,Knorr Mast Masala Soupy Noodles 70 gm,Rs. 12.00
11-03-2015,Top Ramen Super Noodles More Masala 420 gm,Rs. 60.00
11-03-2015,Nissin Italiano Cup Noodles 100 gm,Rs. 40.00
11-03-2015,Nissin Mazedaar Masala Cup Noodles 100 gm,Rs. 40.00
11-03-2015,Nissin Spiced Chicken Cup Noodles 100 gm,Rs. 40.00
11-03-2015,Dabur Honey 400 gm,Rs. 188.00
11-03-2015,Dabur Honey 250 gm,Rs. 112.00
11-03-2015,Dabur Honey 100 gm,Rs. 56.00
11-03-2015,Lion Agmark Kashmir Honey 250 gm. Buy 1 Get 1 Free,Rs. 154.00
11-03-2015,Lion Kashmir Honey Agmark A 100 gm,Rs. 54.00
11-03-2015,Aachi Mixed Fruit Jam 450 gm. Buy 1 Get 1 Free,Rs. 125.00
11-03-2015,Kissan Mixed Fruit Jam 700 gm,Rs. 153.00
11-03-2015,Sakthi Masala Lemon Rice Powder Rice-Mix Powders 50 gm,Rs. 17.00
11-03-2015,Aachi Tamarind Rice Powder 50 gm,Rs. 15.00
11-03-2015,Ching's Secret Manchurian 75 gm,Rs. 15.00
11-03-2015,Aashirvaad Ready Meals Aloo Mutter 285 gm,Rs. 65.00
11-03-2015,Aashirvaad Ready Meals Pindi Chana 285 gm,Rs. 60.00
11-03-2015,MTR Tasty Delights Ready to Eat Paneer Butter Masala 300 gm,Rs. 75.00
11-03-2015,MTR Tasty Delights Ready to Eat Chana Masala 300 gm,Rs. 70.00
11-03-2015,MTR Mixed Vegetable Curry Ready to Eat 300 gm,Rs. 65.00
11-03-2015,MTR Ready to Eat Vegetable Pulao Ready to Eat 250 gm,Rs. 60.00
11-03-2015,MTR Tasty Delights Ready to Eat Lemon Rice 250 gm,Rs. 50.00
11-03-2015,MTR Tasty Delights Ready to Eat Masala Rice 250 gm,Rs. 50.00
11-03-2015,MTR Tasty Delights Ready to Eat Tomato Rice 250 gm,Rs. 50.00
11-03-2015,Aachi Rava Dosa Mix 200 gm ,Rs. 32.00
11-03-2015,Aachi Rava Idly Mix 200 gm ,Rs. 32.00
11-03-2015,MTR Rava Idli Breakfast Mix 1 kg,Rs. 130.00
11-03-2015,MTR Rava Idli Breakfast Mix 500 gm,Rs. 73.00
11-03-2015,MTR Ravadosa Breakfast Mix 500 gm,Rs. 72.00
11-03-2015,Aachi Gulab Jamun Mix 200 gm. Buy 1 Get 1 Free,Rs. 80.00
11-03-2015,Aachi Tamarind Rice Paste 100 gm Refill Pack,Rs. 20.00
11-03-2015,Aachi Lemon Rice Paste 100 gm Refill Pack,Rs. 20.00
11-03-2015,Knorr Chinese Manchurian 55 gm,Rs. 45.00
11-03-2015,Knorr Ready to Cook Hyderabadi Biryani 50 gm,Rs. 45.00
11-03-2015,Knorr Chinese Chilli Culinary Sauce Powder 51 gm,Rs. 40.00
11-03-2015,Knorr Chinese Schezuan Culinary Sauce Powder 49 gm,Rs. 40.00
11-03-2015,Knorr Ready to Cook Hyderabadi Biryani 44 gm,Rs. 40.00
11-03-2015,Kissan Orange Marmalade Jam 500 gm,Rs. 120.00
11-03-2015,Kissan Pineapple Jam 500 gm,Rs. 112.00
11-03-2015,Kissan Mango Jam 500 gm,Rs. 112.00
11-03-2015,Kissan Mixed Fruit Jam 500 gm,Rs. 110.00
11-03-2015,Kissan Mixed Fruit Jam 200 gm,Rs. 50.00
11-03-2015,Kissan Mixed Fruit Jam 100 gm,Rs. 25.00
11-03-2015,Lion Dates Syrup 250 gm,Rs. 85.00
11-03-2015,Pillsbury Choco Spread 180 gm,Rs. 100.00
11-03-2015,Sundrop Honey Roast Crunchy Peanut Butter Spread 462 gm,Rs. 250.00
11-03-2015,Sundrop Creamy Peanut Butter Spread 462 gm,Rs. 250.00
11-03-2015,Nutella Ferrero Bread Spread With Hazelnut and Cocoa 350 gm,Rs. 250.00
11-03-2015,Sundrop Peanut Butter Crunchy 462 gm,Rs. 250.00
11-03-2015,Nutella Ferrero Bread Spread With Hazelnuts 160 gm,Rs. 170.00
11-03-2015,Fun Foods Eggless Sandwich Spread 300 gm,Rs. 85.00
11-03-2015,Fun Foods Cheese & Chilli Eggless Sandwich Spread 300 gm,Rs. 85.00
11-03-2015,Fun Foods Cucumber & Carrot Classic Sandwich Spread 275 gm,Rs. 85.00
11-03-2015,Cremica 100% Veg Mayonnaise Spread 300 gm,Rs. 82.00
11-03-2015,Nissin Cup Noodles Veggi Manchow 70 gm,Rs. 40.00
11-03-2015,Nissin Tomato Cup Noodles 50 gm,Rs. 20.00
11-03-2015,Bambino Premium Spirali Pasta 500 gm,Rs. 80.00
11-03-2015,Bambino Premium Pennie Pasta 500 gm. Buy 1 Get 1 Free,Rs. 80.00
11-03-2015,Bambino Premium Pasta Penne 250 gm,Rs. 55.00
11-03-2015,Bambino Pasta Spaghetti 250 gm,Rs. 55.00
11-03-2015,Sunfeast Yippee Tricolor Pasta Creamy Corn 70 gm,Rs. 20.00
11-03-2015,Sunfeast Yippee Tricolor Pasta Masala 70 gm  ,Rs. 20.00
11-03-2015,Maggi Nutri-Licious Cheese Macaroni Pazzta 70 gm,Rs. 23.00
11-03-2015,Maggi Nutri-Licious Masala Penne Pazzta 65 gm,Rs. 20.00
11-03-2015,Del Monte Spaghetti 500 gm,Rs. 175.00
11-03-2015,Pedone Fusilli 35 Italian Durum Wheat Pasta 500 gm,Rs. 145.00
11-03-2015,Aachi Semiya Payasam Mix Vermicelli Kheer Mix 200 gm,Rs. 50.00
11-03-2015,Bambino Macaroni Elbows 450 gm,Rs. 40.00
11-03-2015,Bambino Roasted Vermicelli 900 gm,Rs. 75.00
11-03-2015,Bambino Popular Vermicelli 900 gm,Rs. 53.00
11-03-2015,Bambino Roasted Vermicelli 400 gm,Rs. 40.00
11-03-2015,Bambino Popular Vermicelli 400 gm,Rs. 32.00
